station,station_slug,latitude,longitude,london_terminal,terminal_code,fastest_minutes,fastest_direct_minutes,change_at,typical_peak_minutes,peak_trains_per_hour,direct,operators
Uckfield,uckfield,50.968739,0.096381,London Bridge,LBG,80,80,,80,0.8,yes,"Southeastern, Southern, Thameslink"
Warnham,warnham,51.092902,-0.329464,London Bridge,LBG,81,,Horsham,,,no,"Southeastern, Southern, Thameslink"
Whitstable,whitstable,51.357583,1.033295,London Bridge,LBG,81,81,,81,1.2,yes,"Southeastern, Southern, Thameslink"
Wye,wye,51.185012,0.929304,London Bridge,LBG,81,81,,86,0.8,yes,"Southeastern, Southern, Thameslink"
Berwick (Sussex),berwick-sussex,50.840378,0.166018,London Bridge,LBG,82,,Gatwick Airport,,,no,"Southeastern, Southern, Thameslink"
Crowhurst,crowhurst,50.888579,0.501337,London Bridge,LBG,82,82,,88,2.0,yes,"Southeastern, Southern, Thameslink"
Earlsfield,earlsfield,51.442337,-0.187715,London Bridge,LBG,82,,Epsom,,,no,"Southeastern, Southern, Thameslink"
Foxton,foxton,52.119214,0.056308,London Bridge,LBG,82,,Hitchin,,,no,"Southeastern, Southern, Thameslink"
Shoreham-by-Sea,shoreham-by-sea,50.834427,-0.27172,London Bridge,LBG,82,,Three Bridges,,,no,"Southeastern, Southern, Thameslink"
St Leonards Warrior Square,st-leonards-warrior-square,50.855695,0.560279,London Bridge,LBG,82,82,,96,3.2,yes,"Southeastern, Southern, Thameslink"
Barming,barming,51.284895,0.478958,London Bridge,LBG,83,,London Blackfriars,,,no,"Southeastern, Southern, Thameslink"
Cambridge,cambridge,52.194067,0.137457,London Bridge,LBG,83,83,,83,2.0,yes,"Southeastern, Southern, Thameslink"
Holmwood,holmwood,51.181196,-0.320809,London Bridge,LBG,83,,Epsom,,,no,"Southeastern, Southern, Thameslink"
Peterborough,peterborough,52.574975,-0.249837,London Bridge,LBG,83,94,Stevenage,96,2.0,no,"Southeastern, Southern, Thameslink"
Polegate,polegate,50.821245,0.24514,London Bridge,LBG,83,,Gatwick Airport,,,no,"Southeastern, Southern, Thameslink"
Snodland,snodland,51.330231,0.448241,London Bridge,LBG,83,,Gravesend,,,no,"Southeastern, Southern, Thameslink"
Westenhanger,westenhanger,51.094961,1.03805,London Bridge,LBG,83,83,,88,1.6,yes,"Southeastern, Southern, Thameslink"
Chestfield & Swalecliffe,chestfield-and-swalecliffe,51.360241,1.066931,London Bridge,LBG,85,85,,85,0.8,yes,"Southeastern, Southern, Thameslink"
Harrow & Wealdstone,harrow-and-wealdstone,51.592178,-0.334571,London Bridge,LBG,85,,East Croydon,,,no,"Southeastern, Southern, Thameslink"
Hastings,hastings,50.857896,0.576742,London Bridge,LBG,85,85,,100,3.2,yes,"Southeastern, Southern, Thameslink"
London Road (Guildford),london-road-guildford,50.836663,-0.136502,London Bridge,LBG,85,,Epsom,,,no,"Southeastern, Southern, Thameslink"
Sole Street,sole-street,51.383146,0.378097,London Bridge,LBG,85,,Rochester,,,no,"Southeastern, Southern, Thameslink"
Lancing,lancing,50.827083,-0.323109,London Bridge,LBG,86,,Gatwick Airport,,,no,"Southeastern, Southern, Thameslink"
Sandling,sandling,51.090371,1.066043,London Bridge,LBG,86,86,,91,1.6,yes,"Southeastern, Southern, Thameslink"
Ockley,ockley,51.151512,-0.336014,London Bridge,LBG,87,,Horsham,,,no,"Southeastern, Southern, Thameslink"
Pulborough,pulborough,50.957359,-0.516558,London Bridge,LBG,87,,East Croydon,,,no,"Southeastern, Southern, Thameslink"
Chilham,chilham,51.244611,0.975896,London Bridge,LBG,88,88,,92,0.8,yes,"Southeastern, Southern, Thameslink"
Hampden Park,hampden-park,50.796406,0.279356,London Bridge,LBG,88,,Gatwick Airport,,,no,"Southeastern, Southern, Thameslink"
Herne Bay,herne-bay,51.364593,1.117726,London Bridge,LBG,88,88,,89,1.2,yes,"Southeastern, Southern, Thameslink"
Maidstone East,maidstone-east,51.27783,0.521295,London Bridge,LBG,88,,London Blackfriars,,,no,"Southeastern, Southern, Thameslink"
West St Leonards,west-st-leonards,50.853154,0.539935,London Bridge,LBG,88,88,,94,2.0,yes,"Southeastern, Southern, Thameslink"
Wellingborough,wellingborough,52.303783,-0.676651,London Bridge,LBG,89,,Luton,,,no,"Southeastern, Southern, Thameslink"
East Worthing,east-worthing,50.821645,-0.354894,London Bridge,LBG,90,,Gatwick Airport,,,no,"Southeastern, Southern, Thameslink"
Vauxhall,vauxhall,51.48619,-0.122875,London Bridge,LBG,90,,Epsom,,,no,"Southeastern, Southern, Thameslink"
West Ruislip,west-ruislip,51.569758,-0.437768,Marylebone,MYB,18,18,,23,1.2,yes,Chiltern Railways
Denham,denham,51.578837,-0.497437,Marylebone,MYB,19,19,,22,1.6,yes,Chiltern Railways
Gerrards Cross,gerrards-cross,51.589023,-0.555275,Marylebone,MYB,19,19,,28,4.0,yes,Chiltern Railways
Denham Golf Club,denham-golf-club,51.580598,-0.517787,Marylebone,MYB,22,22,,24,0.8,yes,Chiltern Railways
Seer Green,seer-green,51.609845,-0.607818,Marylebone,MYB,24,24,,33,1.6,yes,Chiltern Railways
Seer Green & Jordans,seer-green-and-jordans,51.609845,-0.607818,Marylebone,MYB,24,24,,33,1.6,yes,Chiltern Railways
Beaconsfield,beaconsfield,51.611291,-0.643822,Marylebone,MYB,25,25,,32,3.6,yes,Chiltern Railways
High Wycombe,high-wycombe,51.629586,-0.74541,Marylebone,MYB,25,25,,39,5.2,yes,Chiltern Railways
Rickmansworth,rickmansworth,51.640247,-0.473282,Marylebone,MYB,25,25,,27,1.2,yes,Chiltern Railways
Chorleywood,chorleywood,51.654249,-0.51832,Marylebone,MYB,30,30,,32,2.0,yes,Chiltern Railways
Amersham,amersham,51.674206,-0.607596,Marylebone,MYB,31,31,,38,3.2,yes,Chiltern Railways
Chalfont & Latimer,chalfont-and-latimer,51.668108,-0.560526,Marylebone,MYB,33,33,,35,2.0,yes,Chiltern Railways
Saunderton,saunderton,51.675903,-0.825468,Marylebone,MYB,35,35,,46,1.6,yes,Chiltern Railways
Great Missenden,great-missenden,51.703519,-0.709141,Marylebone,MYB,39,39,,46,3.2,yes,Chiltern Railways
Haddenham & Thame Parkway,haddenham-and-thame-parkway,51.770855,-0.942137,Marylebone,MYB,39,39,,52,2.8,yes,Chiltern Railways
Princes Risborough,princes-risborough,51.71786,-0.843881,Marylebone,MYB,39,39,,49,2.0,yes,Chiltern Railways
Wendover,wendover,51.761757,-0.747372,Marylebone,MYB,45,45,,52,3.2,yes,Chiltern Railways
Bicester North,bicester-north,51.903483,-1.150383,Marylebone,MYB,48,48,,52,2.4,yes,Chiltern Railways
Stoke Mandeville,stoke-mandeville,51.787796,-0.784086,Marylebone,MYB,50,50,,56,3.2,yes,Chiltern Railways
Monks Risborough,monks-risborough,51.735762,-0.829334,Marylebone,MYB,54,65,Princes Risborough,,,no,Chiltern Railways
Aylesbury,aylesbury,51.813891,-0.815096,Marylebone,MYB,55,55,,61,3.2,yes,Chiltern Railways
Bicester Village,bicester-village,51.893023,-1.148764,Marylebone,MYB,57,57,,71,2.0,yes,Chiltern Railways
Little Kimble,little-kimble,51.752232,-0.808452,Marylebone,MYB,58,69,Princes Risborough,,,no,Chiltern Railways
Aylesbury Vale Parkway,aylesbury-vale-parkway,51.831159,-0.860182,Marylebone,MYB,60,60,,67,2.0,yes,Chiltern Railways
Banbury,banbury,52.060308,-1.328133,Marylebone,MYB,62,62,,65,2.0,yes,Chiltern Railways
Oxford Parkway,oxford-parkway,51.804071,-1.274486,Marylebone,MYB,67,67,,81,2.0,yes,Chiltern Railways
Islip,islip,51.825753,-1.238182,Marylebone,MYB,70,70,,74,0.4,yes,Chiltern Railways
Kings Sutton,kings-sutton,52.021351,-1.280931,Marylebone,MYB,71,71,,83,0.4,yes,Chiltern Railways
Oxford,oxford,51.753496,-1.270153,Marylebone,MYB,74,74,,87,2.0,yes,Chiltern Railways
Leamington Spa,leamington-spa,52.28449,-1.53621,Marylebone,MYB,82,82,,83,2.0,yes,Chiltern Railways
Warwick,warwick,52.28654,-1.581854,Marylebone,MYB,88,88,,89,2.0,yes,Chiltern Railways
Finsbury Park,finsbury-park,51.564302,-0.106285,Moorgate,MOG,14,14,,14,8.8,yes,Great Northern
Alexandra Palace,alexandra-palace,51.597924,-0.120235,Moorgate,MOG,19,19,,22,8.8,yes,Great Northern
Hornsey,hornsey,51.586461,-0.111975,Moorgate,MOG,19,19,,20,6.0,yes,Great Northern
Oakleigh Park,oakleigh-park,51.637678,-0.166209,Moorgate,MOG,25,25,,30,4.0,yes,Great Northern
New Barnet,new-barnet,51.648575,-0.172997,Moorgate,MOG,27,27,,32,4.0,yes,Great Northern
Enfield Chase,enfield-chase,51.653254,-0.090696,Moorgate,MOG,29,29,,35,4.8,yes,Great Northern
Hadley Wood,hadley-wood,51.668497,-0.176172,Moorgate,MOG,30,30,,35,4.0,yes,Great Northern
Gordon Hill,gordon-hill,51.663335,-0.09461,Moorgate,MOG,31,31,,37,4.8,yes,Great Northern
Potters Bar,potters-bar,51.697067,-0.192605,Moorgate,MOG,33,33,,38,4.0,yes,Great Northern
Brookmans Park,brookmans-park,51.721062,-0.204549,Moorgate,MOG,37,37,,42,4.0,yes,Great Northern
Crews Hill,crews-hill,51.684486,-0.106887,Moorgate,MOG,39,39,,41,4.8,yes,Great Northern
Knebworth,knebworth,51.866855,-0.187289,Moorgate,MOG,39,,Finsbury Park,,,no,Great Northern
Welham Green,welham-green,51.736352,-0.210692,Moorgate,MOG,39,39,,44,4.0,yes,Great Northern
Welwyn Garden City,welwyn-garden-city,51.801048,-0.20407,Moorgate,MOG,39,47,Finsbury Park,52,4.0,no,Great Northern
Hatfield,hatfield,51.763879,-0.215589,Moorgate,MOG,41,42,Finsbury Park,47,4.0,no,Great Northern
Cuffley,cuffley,51.708722,-0.109783,Moorgate,MOG,42,42,,44,4.8,yes,Great Northern
Stevenage,stevenage,51.901688,-0.207109,Moorgate,MOG,42,65,Finsbury Park,66,2.0,no,Great Northern
Bayford,bayford,51.757716,-0.09561,Moorgate,MOG,46,46,,48,4.8,yes,Great Northern
Hitchin,hitchin,51.953283,-0.263481,Moorgate,MOG,48,,Finsbury Park,,,no,Great Northern
Welwyn North,welwyn-north,51.823497,-0.192091,Moorgate,MOG,49,,Finsbury Park,,,no,Great Northern
Denmark Hill,denmark-hill,51.468203,-0.089361,Moorgate,MOG,50,,Finsbury Park,,,no,Great Northern
Hertford North,hertford-north,51.798857,-0.091788,Moorgate,MOG,50,50,,52,4.8,yes,Great Northern
Letchworth Garden City,letchworth-garden-city,51.979964,-0.229264,Moorgate,MOG,53,,Finsbury Park,,,no,Great Northern
Peckham Rye,peckham-rye,51.470034,-0.069414,Moorgate,MOG,53,,Finsbury Park,,,no,Great Northern
Arlesey,arlesey,52.026031,-0.26632,Moorgate,MOG,54,,Finsbury Park,,,no,Great Northern
Baldock,baldock,51.992871,-0.187564,Moorgate,MOG,56,,Finsbury Park,,,no,Great Northern
East Croydon,east-croydon,51.375454,-0.09278,Moorgate,MOG,58,,Finsbury Park,,,no,Great Northern
Watton-at-Stone,watton-at-stone,51.856438,-0.119427,Moorgate,MOG,58,58,,59,2.0,yes,Great Northern
Biggleswade,biggleswade,52.08468,-0.261187,Moorgate,MOG,59,,Finsbury Park,,,no,Great Northern
Ashwell & Morden,ashwell-and-morden,52.030772,-0.109789,Moorgate,MOG,61,,Finsbury Park,,,no,Great Northern
Catford,catford,51.444407,-0.026317,Moorgate,MOG,62,,Finsbury Park,,,no,Great Northern
Sandy,sandy,52.124734,-0.28119,Moorgate,MOG,64,,Finsbury Park,,,no,Great Northern
Bellingham,bellingham,51.432913,-0.019331,Moorgate,MOG,65,,Finsbury Park,,,no,Great Northern
Coulsdon South,coulsdon-south,51.315838,-0.137887,Moorgate,MOG,66,,Finsbury Park,,,no,Great Northern
Royston,royston,52.05308,-0.026921,Moorgate,MOG,66,,Finsbury Park,,,no,Great Northern
Beckenham Hill,beckenham-hill,51.424583,-0.015951,Moorgate,MOG,67,,Finsbury Park,,,no,Great Northern
St Neots,st-neots,52.231568,-0.247414,Moorgate,MOG,71,,Finsbury Park,,,no,Great Northern
Merstham,merstham,51.264154,-0.150226,Moorgate,MOG,72,,Finsbury Park,,,no,Great Northern
Gatwick Airport,gatwick-airport,51.156491,-0.161041,Moorgate,MOG,73,,Finsbury Park,,,no,Great Northern
Bromley South,bromley-south,51.399976,0.017344,Moorgate,MOG,74,,Finsbury Park,,,no,Great Northern
Redhill,redhill,51.240201,-0.1659,Moorgate,MOG,76,,Finsbury Park,,,no,Great Northern
Bickley,bickley,51.400104,0.045241,Moorgate,MOG,77,,Finsbury Park,,,no,Great Northern
Cambridge South,cambridge-south,52.174231,0.131544,Moorgate,MOG,78,,Finsbury Park,,,no,Great Northern
Huntingdon,huntingdon,52.328649,-0.192068,Moorgate,MOG,79,,Finsbury Park,,,no,Great Northern
Three Bridges,three-bridges,51.116924,-0.161184,Moorgate,MOG,79,,Finsbury Park,,,no,Great Northern
Earlswood,earlswood,51.227328,-0.170823,Moorgate,MOG,81,,Finsbury Park,,,no,Great Northern
Cambridge,cambridge,52.194067,0.137457,Moorgate,MOG,82,,Finsbury Park,,,no,Great Northern
St Mary Cray,st-mary-cray,51.394749,0.106384,Moorgate,MOG,82,,Finsbury Park,,,no,Great Northern
Horley,horley,51.168775,-0.161054,Moorgate,MOG,84,,Finsbury Park,,,no,Great Northern
Balcombe,balcombe,51.055522,-0.136934,Moorgate,MOG,85,,Finsbury Park,,,no,Great Northern
Meldreth,meldreth,52.090717,0.008941,Moorgate,MOG,85,,Finsbury Park,,,no,Great Northern
Salfords,salfords,51.201748,-0.162489,Moorgate,MOG,85,,Finsbury Park,,,no,Great Northern
Swanley,swanley,51.393387,0.169225,Moorgate,MOG,86,,Finsbury Park,,,no,Great Northern
Haywards Heath,haywards-heath,51.005682,-0.105078,Moorgate,MOG,88,,Finsbury Park,,,no,Great Northern
Shepreth,shepreth,52.114162,0.031319,Moorgate,MOG,88,,Finsbury Park,,,no,Great Northern
Acton Main Line,acton-main-line,51.51718,-0.266756,Paddington,PAD,7,7,,8,6.0,yes,"Great Western Railway, Elizabeth line"
Ealing Broadway,ealing-broadway,51.514841,-0.301752,Paddington,PAD,8,8,,11,12.0,yes,"Great Western Railway, Elizabeth line"
Southall,southall,51.505957,-0.37861,Paddington,PAD,13,13,,18,9.2,yes,"Great Western Railway, Elizabeth line"
Hanwell,hanwell,51.511835,-0.338583,Paddington,PAD,14,14,,15,5.2,yes,"Great Western Railway, Elizabeth line"
Slough,slough,51.51188,-0.59151,Paddington,PAD,14,14,,32,6.4,yes,"Great Western Railway, Elizabeth line"
Hayes & Harlington,hayes-and-harlington,51.503096,-0.420683,Paddington,PAD,16,16,,21,10.0,yes,"Great Western Railway, Elizabeth line"
Maidenhead,maidenhead,51.518669,-0.72266,Paddington,PAD,18,18,,38,10.0,yes,"Great Western Railway, Elizabeth line"
Stratford,stratford,51.541895,-0.003397,Paddington,PAD,19,19,,20,11.6,yes,"Great Western Railway, Elizabeth line"
West Drayton,west-drayton,51.510055,-0.472234,Paddington,PAD,20,20,,23,6.0,yes,"Great Western Railway, Elizabeth line"
Twyford,twyford,51.475534,-0.863293,Paddington,PAD,21,21,,45,6.4,yes,"Great Western Railway, Elizabeth line"
Reading,reading,51.458786,-0.971849,Paddington,PAD,23,23,,28,15.6,yes,"Great Western Railway, Elizabeth line"
Iver,iver,51.508503,-0.506726,Paddington,PAD,24,24,,27,4.0,yes,"Great Western Railway, Elizabeth line"
Burnham,burnham,51.523506,-0.646374,Paddington,PAD,26,33,Slough,36,6.0,no,"Great Western Railway, Elizabeth line"
Langley,langley,51.508062,-0.541756,Paddington,PAD,26,26,,30,4.0,yes,"Great Western Railway, Elizabeth line"
Abbey Wood,abbey-wood,51.491062,0.121394,Paddington,PAD,28,28,,30,11.6,yes,"Great Western Railway, Elizabeth line"
Taplow,taplow,51.523562,-0.68137,Paddington,PAD,30,38,Maidenhead,40,4.0,no,"Great Western Railway, Elizabeth line"
Reading West,reading-west,51.455501,-0.990129,Paddington,PAD,31,31,,32,1.2,yes,"Great Western Railway, Elizabeth line"
Windsor & Eton Central,windsor-and-eton-central,51.483268,-0.61038,Paddington,PAD,32,,Slough,,,no,"Great Western Railway, Elizabeth line"
Theale,theale,51.433452,-1.074973,Paddington,PAD,34,34,,38,1.6,yes,"Great Western Railway, Elizabeth line"
Didcot Parkway,didcot-parkway,51.610954,-1.242893,Paddington,PAD,37,37,,43,5.6,yes,"Great Western Railway, Elizabeth line"
Tilehurst,tilehurst,51.471509,-1.029816,Paddington,PAD,37,41,Reading,48,2.0,no,"Great Western Railway, Elizabeth line"
Tottenham Hale,tottenham-hale,51.58831,-0.059929,Paddington,PAD,38,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Romford,romford,51.574829,0.183237,Paddington,PAD,39,40,Stratford (London),41,11.6,no,"Great Western Railway, Elizabeth line"
Newbury,newbury,51.397649,-1.322861,Paddington,PAD,40,40,,51,2.8,yes,"Great Western Railway, Elizabeth line"
Pangbourne,pangbourne,51.485401,-1.09047,Paddington,PAD,41,46,Reading,53,2.0,no,"Great Western Railway, Elizabeth line"
Shenfield,shenfield,51.630877,0.329851,Paddington,PAD,42,54,Stratford (London),56,11.2,no,"Great Western Railway, Elizabeth line"
Thatcham,thatcham,51.393844,-1.24319,Paddington,PAD,42,42,,46,1.6,yes,"Great Western Railway, Elizabeth line"
Gidea Park,gidea-park,51.581904,0.205964,Paddington,PAD,43,43,,44,11.6,yes,"Great Western Railway, Elizabeth line"
Goring & Streatley,goring-and-streatley,51.521493,-1.133049,Paddington,PAD,45,50,Reading,56,2.0,no,"Great Western Railway, Elizabeth line"
Wokingham,wokingham,51.411218,-0.842543,Paddington,PAD,45,,Reading,,,no,"Great Western Railway, Elizabeth line"
Aldermaston,aldermaston,51.401962,-1.137424,Paddington,PAD,46,49,Reading,49,0.4,no,"Great Western Railway, Elizabeth line"
Harold Wood,harold-wood,51.592766,0.233129,Paddington,PAD,46,46,,48,11.2,yes,"Great Western Railway, Elizabeth line"
Hungerford,hungerford,51.41491,-1.512287,Paddington,PAD,46,46,,63,2.0,yes,"Great Western Railway, Elizabeth line"
Swindon,swindon,51.565472,-1.785511,Paddington,PAD,47,47,,57,4.4,yes,"Great Western Railway, Elizabeth line"
Cholsey,cholsey,51.570202,-1.158023,Paddington,PAD,49,55,Reading,61,2.0,no,"Great Western Railway, Elizabeth line"
Ingatestone,ingatestone,51.667043,0.384247,Paddington,PAD,49,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Midgham,midgham,51.395975,-1.177711,Paddington,PAD,49,52,Reading,52,0.4,no,"Great Western Railway, Elizabeth line"
Basingstoke,basingstoke,51.268357,-1.087264,Paddington,PAD,50,,Reading,,,no,"Great Western Railway, Elizabeth line"
Billericay,billericay,51.628884,0.41863,Paddington,PAD,50,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Brentwood,brentwood,51.613605,0.299586,Paddington,PAD,50,50,,52,11.2,yes,"Great Western Railway, Elizabeth line"
Cheshunt,cheshunt,51.702876,-0.02396,Paddington,PAD,51,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Oxford,oxford,51.753496,-1.270153,Paddington,PAD,51,51,,54,2.4,yes,"Great Western Railway, Elizabeth line"
Waltham Cross,waltham-cross,51.685061,-0.026558,Paddington,PAD,51,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Henley-on-Thames,henley-on-thames,51.53418,-0.900212,Paddington,PAD,52,,Twyford,,,no,"Great Western Railway, Elizabeth line"
Chelmsford,chelmsford,51.736373,0.468572,Paddington,PAD,53,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Newbury Racecourse,newbury-racecourse,51.398461,-1.307799,Paddington,PAD,53,60,Newbury,60,0.4,no,"Great Western Railway, Elizabeth line"
Broxbourne,broxbourne,51.74691,-0.011087,Paddington,PAD,55,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Bedwyn,bedwyn,51.37964,-1.598786,Paddington,PAD,56,56,,69,2.0,yes,"Great Western Railway, Elizabeth line"
Wickford,wickford,51.615023,0.519185,Paddington,PAD,56,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Beaulieu Park,beaulieu-park,51.758057,0.518336,Paddington,PAD,58,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Kintbury,kintbury,51.402522,-1.445989,Paddington,PAD,58,58,,59,1.2,yes,"Great Western Railway, Elizabeth line"
Upminster,upminster,51.559018,0.25088,Paddington,PAD,58,,Romford,,,no,"Great Western Railway, Elizabeth line"
Roydon,roydon,51.775487,0.036252,Paddington,PAD,60,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Hatfield Peverel,hatfield-peverel,51.779864,0.592124,Paddington,PAD,61,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Rayleigh,rayleigh,51.589293,0.599983,Paddington,PAD,61,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Witham,witham,51.805969,0.63913,Paddington,PAD,61,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Pewsey,pewsey,51.342193,-1.770675,Paddington,PAD,62,62,,79,1.6,yes,"Great Western Railway, Elizabeth line"
Rye House,rye-house,51.769413,0.005628,Paddington,PAD,62,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Chippenham,chippenham,51.462488,-2.115394,Paddington,PAD,63,63,,70,1.6,yes,"Great Western Railway, Elizabeth line"
Hanborough,hanborough,51.825158,-1.373525,Paddington,PAD,63,63,,65,1.2,yes,"Great Western Railway, Elizabeth line"
Harlow Town,harlow-town,51.78107,0.095132,Paddington,PAD,63,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Overton,overton,51.254294,-1.259268,Paddington,PAD,63,,Reading,,,no,"Great Western Railway, Elizabeth line"
Battlesbridge,battlesbridge,51.624825,0.565286,Paddington,PAD,65,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Hockley,hockley,51.603556,0.659001,Paddington,PAD,65,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
St Margarets (Hertfordshire),st-margarets-hertfordshire,51.787841,0.001269,Paddington,PAD,65,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Winchester,winchester,51.067211,-1.3197,Paddington,PAD,68,,Reading,,,no,"Great Western Railway, Elizabeth line"
Charlbury,charlbury,51.872428,-1.489694,Paddington,PAD,69,69,,72,1.2,yes,"Great Western Railway, Elizabeth line"
Kemble,kemble,51.676996,-2.022817,Paddington,PAD,69,69,,74,0.8,yes,"Great Western Railway, Elizabeth line"
Oxford Parkway,oxford-parkway,51.804071,-1.274486,Paddington,PAD,69,,Oxford,,,no,"Great Western Railway, Elizabeth line"
Rochford,rochford,51.581729,0.702303,Paddington,PAD,69,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
South Woodham Ferrers,south-woodham-ferrers,51.649458,0.606505,Paddington,PAD,69,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Ware,ware,51.80796,-0.028781,Paddington,PAD,69,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Whitchurch (Hants),whitchurch-hants,51.237544,-1.337747,Paddington,PAD,69,,Reading,,,no,"Great Western Railway, Elizabeth line"
Colchester,colchester,51.900714,0.892598,Paddington,PAD,70,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Marks Tey,marks-tey,51.880939,0.783328,Paddington,PAD,70,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Marlow,marlow,51.570993,-0.766431,Paddington,PAD,70,,Maidenhead,,,no,"Great Western Railway, Elizabeth line"
Southend Airport,southend-airport,51.56867,0.70505,Paddington,PAD,71,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Kelvedon,kelvedon,51.840702,0.702386,Paddington,PAD,72,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Bristol Parkway,bristol-parkway,51.513801,-2.542163,Paddington,PAD,73,73,,77,2.0,yes,"Great Western Railway, Elizabeth line"
Hertford East,hertford-east,51.799035,-0.072941,Paddington,PAD,73,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Westbury,westbury,51.266986,-2.199182,Paddington,PAD,73,73,,97,1.6,yes,"Great Western Railway, Elizabeth line"
White Notley,white-notley,51.838912,0.595864,Paddington,PAD,73,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Banbury,banbury,52.060308,-1.328133,Paddington,PAD,74,74,,,,yes,"Great Western Railway, Elizabeth line"
Islip,islip,51.825753,-1.238182,Paddington,PAD,74,,Oxford,,,no,"Great Western Railway, Elizabeth line"
North Fambridge,north-fambridge,51.648584,0.681659,Paddington,PAD,74,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Prittlewell,prittlewell,51.550687,0.710676,Paddington,PAD,74,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Cressing,cressing,51.852337,0.577961,Paddington,PAD,75,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Harlow Mill,harlow-mill,51.790365,0.132308,Paddington,PAD,75,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Bath Spa,bath-spa,51.377686,-2.357018,Paddington,PAD,76,76,,83,1.6,yes,"Great Western Railway, Elizabeth line"
Southampton Airport Parkway,southampton-airport-parkway,50.950815,-1.363097,Paddington,PAD,76,,Reading,,,no,"Great Western Railway, Elizabeth line"
Southend Victoria,southend-victoria,51.541513,0.711501,Paddington,PAD,76,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Andover,andover,51.211547,-1.492233,Paddington,PAD,77,,Reading,,,no,"Great Western Railway, Elizabeth line"
Sawbridgeworth,sawbridgeworth,51.814348,0.160411,Paddington,PAD,77,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Braintree Freeport,braintree-freeport,51.869416,0.568435,Paddington,PAD,79,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Manningtree,manningtree,51.949052,1.04524,Paddington,PAD,79,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Kingham,kingham,51.90225,-1.628786,Paddington,PAD,80,80,,82,1.2,yes,"Great Western Railway, Elizabeth line"
Kings Sutton,kings-sutton,52.021351,-1.280931,Paddington,PAD,80,,Oxford,,,no,"Great Western Railway, Elizabeth line"
Shipton,shipton,51.865654,-1.592693,Paddington,PAD,80,80,,,,yes,"Great Western Railway, Elizabeth line"
Althorne,althorne,51.64787,0.752484,Paddington,PAD,81,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Bicester Village,bicester-village,51.893023,-1.148764,Paddington,PAD,81,,Oxford,,,no,"Great Western Railway, Elizabeth line"
Braintree,braintree,51.875392,0.556687,Paddington,PAD,81,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Bishops Stortford,bishops-stortford,51.866691,0.164894,Paddington,PAD,82,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Guildford,guildford,51.23697,-0.580425,Paddington,PAD,82,,Reading,,,no,"Great Western Railway, Elizabeth line"
Grateley,grateley,51.170059,-1.620774,Paddington,PAD,84,,Reading,,,no,"Great Western Railway, Elizabeth line"
Hythe,hythe,51.88564,0.927528,Paddington,PAD,84,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Ipswich,ipswich,52.050592,1.144426,Paddington,PAD,84,,Stratford (London),,,no,"Great Western Railway, Elizabeth line"
Southampton Central,southampton-central,50.907448,-1.413596,Paddington,PAD,84,,Reading,,,no,"Great Western Railway, Elizabeth line"
Stroud,stroud,51.744622,-2.219383,Paddington,PAD,84,84,,90,0.8,yes,"Great Western Railway, Elizabeth line"
